,UniqueCarrier,Month,CancellationCode,Cancelled,TotalFlights,CancelRate
0,9E,1,Carrier,750,262208,0.286032463
1,9E,1,Weather,311,262208,0.118608128
2,9E,1,NAS,72,262208,0.027459116
3,9E,2,Carrier,678,262208,0.258573346
4,9E,2,Weather,490,262208,0.186874542
5,9E,2,NAS,118,262208,0.045002441
6,9E,3,Carrier,772,262208,0.294422748
7,9E,3,Weather,221,262208,0.084284232
8,9E,3,NAS,171,262208,0.065215402
9,9E,4,Carrier,391,262208,0.149118257
10,9E,4,Weather,59,262208,0.02250122
11,9E,4,NAS,64,262208,0.024408103
12,9E,5,Carrier,136,262208,0.05186722
13,9E,5,Weather,46,262208,0.017543324
14,9E,5,NAS,14,262208,0.005339273
15,9E,5,Security,1,262208,0.000381377
16,9E,6,Carrier,195,262208,0.07436844
17,9E,6,Weather,65,262208,0.02478948
18,9E,6,NAS,87,262208,0.033179766
19,9E,7,Carrier,163,262208,0.062164389
20,9E,7,Weather,25,262208,0.009534415
21,9E,7,NAS,99,262208,0.037756285
22,9E,8,Carrier,113,262208,0.043095558
23,9E,8,Weather,44,262208,0.016780571
24,9E,8,NAS,19,262208,0.007246156
25,9E,9,Carrier,110,262208,0.041951428
26,9E,9,Weather,110,262208,0.041951428
27,9E,9,NAS,43,262208,0.016399195
28,9E,10,Carrier,128,262208,0.048816207
29,9E,10,Weather,8,262208,0.003051013
30,9E,10,NAS,7,262208,0.002669636
31,9E,11,Carrier,220,262208,0.083902856
32,9E,11,Weather,50,262208,0.019068831
33,9E,11,NAS,12,262208,0.004576519
34,9E,12,Carrier,673,262208,0.256666463
35,9E,12,Weather,503,262208,0.191832438
36,9E,12,NAS,132,262208,0.050341713
37,AA,1,Carrier,814,604885,0.134571034
38,AA,1,Weather,342,604885,0.056539673
39,AA,1,NAS,501,604885,0.082825661
40,AA,2,Carrier,735,604885,0.1215107
41,AA,2,Weather,1113,604885,0.184001918
42,AA,2,NAS,453,604885,0.074890268
43,AA,3,Carrier,989,604885,0.163502153
44,AA,3,Weather,1688,604885,0.279061309
45,AA,3,NAS,231,604885,0.038189077
46,AA,4,Carrier,3696,604885,0.611025236
47,AA,4,Weather,131,604885,0.021657009
48,AA,4,NAS,91,604885,0.015044182
49,AA,5,Carrier,593,604885,0.098035164
50,AA,5,Weather,406,604885,0.067120196
51,AA,5,NAS,118,604885,0.01950784
52,AA,5,Security,2,604885,0.000330641
53,AA,6,Carrier,354,604885,0.058523521
54,AA,6,Weather,467,604885,0.077204758
55,AA,6,NAS,202,604885,0.033394778
56,AA,7,Carrier,492,604885,0.081337775
57,AA,7,Weather,176,604885,0.02909644
58,AA,7,NAS,151,604885,0.024963423
59,AA,8,Carrier,707,604885,0.116881721
60,AA,8,Weather,334,604885,0.055217107
61,AA,8,NAS,167,604885,0.027608554
62,AA,9,Carrier,331,604885,0.054721145
63,AA,9,Weather,287,604885,0.047447035
64,AA,9,NAS,86,604885,0.014217579
65,AA,10,Carrier,239,604885,0.039511643
66,AA,10,Weather,10,604885,0.001653207
67,AA,10,NAS,72,604885,0.011903089
68,AA,11,Carrier,262,604885,0.043314018
69,AA,11,Weather,92,604885,0.015209503
70,AA,11,NAS,50,604885,0.008266034
71,AA,12,Carrier,397,604885,0.06563231
72,AA,12,Weather,449,604885,0.074228986
73,AA,12,NAS,212,604885,0.035047984
74,AQ,1,Carrier,25,7800,0.320512821
75,AQ,2,Carrier,17,7800,0.217948718
76,AS,1,Carrier,239,151102,0.158171302
77,AS,1,Weather,96,151102,0.063533242
78,AS,1,NAS,20,151102,0.013236092
79,AS,2,Carrier,131,151102,0.086696404
80,AS,2,Weather,63,151102,0.04169369
81,AS,2,NAS,12,151102,0.007941655
82,AS,3,Carrier,70,151102,0.046326323
83,AS,3,Weather,11,151102,0.007279851
84,AS,3,NAS,4,151102,0.002647218
85,AS,4,Carrier,135,151102,0.089343622
86,AS,4,Weather,23,151102,0.015221506
87,AS,5,Carrier,121,151102,0.080078358
88,AS,5,Weather,6,151102,0.003970828
89,AS,6,Carrier,83,151102,0.054929783
90,AS,6,Weather,21,151102,0.013897897
91,AS,7,Carrier,73,151102,0.048311736
92,AS,7,Weather,17,151102,0.011250678
93,AS,7,NAS,8,151102,0.005294437
94,AS,8,Carrier,112,151102,0.074122116
95,AS,8,Weather,42,151102,0.027795794
96,AS,9,Carrier,46,151102,0.030443012
97,AS,9,Weather,21,151102,0.013897897
98,AS,10,Carrier,65,151102,0.0430173
99,AS,10,Weather,26,151102,0.01720692
100,AS,10,NAS,2,151102,0.001323609
101,AS,11,Carrier,49,151102,0.032428426
102,AS,11,Weather,12,151102,0.007941655
103,AS,11,NAS,4,151102,0.002647218
104,AS,12,Carrier,98,151102,0.064856852
105,AS,12,Weather,527,151102,0.348771029
106,AS,12,NAS,2,151102,0.001323609
107,B6,1,Carrier,211,196091,0.107603103
108,B6,2,Carrier,29,196091,0.014789052
109,B6,2,Weather,336,196091,0.171349017
110,B6,3,Carrier,64,196091,0.032637908
111,B6,3,Weather,109,196091,0.055586437
112,B6,3,NAS,26,196091,0.01325915
113,B6,4,Carrier,43,196091,0.021928594
114,B6,4,Weather,55,196091,0.028048202
115,B6,4,NAS,29,196091,0.014789052
116,B6,5,Carrier,12,196091,0.006119608
117,B6,5,Weather,13,196091,0.006629575
118,B6,5,NAS,2,196091,0.001019935
119,B6,6,Carrier,50,196091,0.025498366
120,B6,6,Weather,292,196091,0.148910455
121,B6,6,NAS,21,196091,0.010709314
122,B6,7,Carrier,103,196091,0.052526633
123,B6,7,Weather,441,196091,0.224895584
124,B6,7,NAS,9,196091,0.004589706
125,B6,8,Carrier,53,196091,0.027028267
126,B6,8,Weather,502,196091,0.25600359
127,B6,8,NAS,2,196091,0.001019935
128,B6,9,Carrier,10,196091,0.005099673
129,B6,9,Weather,146,196091,0.074455227
130,B6,10,Carrier,13,196091,0.006629575
131,B6,10,Weather,39,196091,0.019888725
132,B6,11,Carrier,20,196091,0.010199346
133,B6,11,Weather,90,196091,0.045897058
134,B6,12,Carrier,57,196091,0.029068137
135,B6,12,Weather,422,196091,0.215206205
136,B6,12,NAS,6,196091,0.003059804
137,CO,1,Carrier,31,298455,0.010386825
138,CO,1,Weather,158,298455,0.052939304
139,CO,1,NAS,4,298455,0.001340236
140,CO,2,Carrier,54,298455,0.01809318
141,CO,2,Weather,356,298455,0.119280964
142,CO,2,NAS,1,298455,0.000335059
143,CO,3,Carrier,94,298455,0.031495535
144,CO,3,Weather,285,298455,0.095491783
145,CO,3,NAS,14,298455,0.004690824
146,CO,4,Carrier,50,298455,0.016752944
147,CO,4,Weather,33,298455,0.011056943
148,CO,4,NAS,4,298455,0.001340236
149,CO,5,Carrier,40,298455,0.013402355
150,CO,5,Weather,34,298455,0.011392002
151,CO,5,NAS,6,298455,0.002010353
152,CO,6,Carrier,108,298455,0.03618636
153,CO,6,Weather,108,298455,0.03618636
154,CO,6,NAS,4,298455,0.001340236
155,CO,7,Carrier,139,298455,0.046573185
156,CO,7,Weather,137,298455,0.045903067
157,CO,7,NAS,21,298455,0.007036237
158,CO,8,Carrier,57,298455,0.019098357
159,CO,8,Weather,130,298455,0.043557655
160,CO,8,NAS,6,298455,0.002010353
161,CO,9,Carrier,44,298455,0.014742591
162,CO,9,Weather,1259,298455,0.421839138
163,CO,9,NAS,1,298455,0.000335059
164,CO,10,Carrier,28,298455,0.009381649
165,CO,10,Weather,26,298455,0.008711531
166,CO,10,NAS,6,298455,0.002010353
167,CO,11,Carrier,16,298455,0.005360942
168,CO,11,Weather,8,298455,0.002680471
169,CO,11,NAS,4,298455,0.001340236
170,CO,12,Carrier,85,298455,0.028480005
171,CO,12,Weather,344,298455,0.115260257
172,CO,12,NAS,7,298455,0.002345412
173,DL,1,Carrier,296,451931,0.065496724
174,DL,1,Weather,850,451931,0.188081809
175,DL,1,NAS,53,451931,0.011727454
176,DL,2,Carrier,187,451931,0.041377998
177,DL,2,Weather,323,451931,0.071471087
178,DL,2,NAS,168,451931,0.037173816
179,DL,3,Carrier,516,451931,0.114176722
180,DL,3,Weather,202,451931,0.044697089
181,DL,3,NAS,137,451931,0.030314362
182,DL,4,Carrier,226,451931,0.050007634
183,DL,4,Weather,31,451931,0.006859454
184,DL,4,NAS,62,451931,0.013718908
185,DL,5,Carrier,76,451931,0.016816726
186,DL,5,Weather,7,451931,0.001548909
187,DL,5,NAS,73,451931,0.016152908
188,DL,6,Carrier,303,451931,0.067045633
189,DL,6,Weather,51,451931,0.011284909
190,DL,6,NAS,125,451931,0.02765909
191,DL,7,Carrier,459,451931,0.101564177
192,DL,7,Weather,281,451931,0.062177633
193,DL,7,NAS,165,451931,0.036509998
194,DL,8,Carrier,262,451931,0.057973452
195,DL,8,Weather,120,451931,0.026552726
196,DL,8,NAS,215,451931,0.047573634
197,DL,9,Carrier,157,451931,0.034739816
198,DL,9,Weather,153,451931,0.033854726
